City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,279.21,70,20,6.69,CL,1674554803
1,hobart,-42.8794,147.3294,293.07,79,40,3.09,AU,1674554153
2,ribeira grande,38.5167,-28.7,289.14,94,75,7.2,PT,1674554803
3,isangel,-19.55,169.2667,300.37,85,99,2.6,VU,1674554804
4,ushuaia,-54.8,-68.3,278.26,87,8,3.92,AR,1674554804
5,te anau,-45.4167,167.7167,284.85,77,37,1.72,NZ,1674554804
6,mataura,-46.1927,168.8643,281.96,87,5,1.31,NZ,1674554804
7,taungdwingyi,20.0167,95.55,304.61,15,6,2.96,MM,1674554804
8,lompoc,34.6391,-120.4579,279.03,93,0,3.09,US,1674554602
9,alofi,-19.0595,-169.9187,299.93,75,9,4.1,NU,1674554805
10,geraldton,-28.7667,114.6,297.38,73,75,8.75,AU,1674554643
11,kyren,51.6828,102.1408,256.1,98,100,0.47,RU,1674554805
12,rikitea,-23.1203,-134.9692,298.99,77,1,6.99,PF,1674554805
13,mae hong son,19.3003,97.9685,305.9,21,2,0.59,TH,1674554805
14,barrow,71.2906,-156.7887,252.16,77,100,10.8,US,1674554806
15,lac du bonnet,50.2536,-96.0612,256.18,98,100,1.1,CA,1674554806
16,georgetown,5.4112,100.3354,302.11,79,40,2.06,MY,1674554643
17,carnarvon,-24.8667,113.6333,298.63,75,3,11.36,AU,1674554806
18,lavrentiya,65.5833,-171.0,246.9,95,21,4.85,RU,1674554806
19,bethel,41.3712,-73.414,275.09,74,75,2.57,US,1674554807
20,saldanha,-33.0117,17.9442,291.78,66,83,8.48,ZA,1674554807
21,severo-kurilsk,50.6789,156.125,264.1,66,67,4.42,RU,1674554807
22,pout,14.7739,-17.0603,293.57,100,40,1.54,SN,1674554808
23,walvis bay,-22.9575,14.5053,294.7,61,100,7.21,NA,1674554808
24,ponta do sol,32.6667,-17.1,291.55,60,7,3.46,PT,1674554808
25,hovd,48.0056,91.6419,254.13,70,100,0.79,MN,1674554808
26,wairoa,-39.0333,177.3667,290.68,75,87,0.89,NZ,1674554808
27,saint george,37.1041,-113.5841,274.48,65,0,1.54,US,1674554808
28,narsaq,60.9167,-46.05,267.27,97,100,1.63,GL,1674554809
29,jining,35.405,116.5814,265.2,16,0,2.7,CN,1674554809
30,yulara,-25.2406,130.9889,306.72,16,97,2.45,AU,1674554809
31,new norfolk,-42.7826,147.0587,292.87,63,79,0.45,AU,1674554809
32,cabo san lucas,22.8909,-109.9124,290.1,75,93,2.9,MX,1674554685
33,pitimbu,-7.4706,-34.8086,299.48,74,15,4.65,BR,1674554809
34,provideniya,64.3833,-173.3,252.23,87,2,5.19,RU,1674554810
35,klaksvik,62.2266,-6.589,281.66,88,100,14.01,FO,1674554810
36,faya,18.3851,42.4509,291.44,54,15,4.68,SA,1674554810
37,shiyan,32.6475,110.7781,272.82,21,0,3.59,CN,1674554811
38,arraial do cabo,-22.9661,-42.0278,297.07,94,75,2.57,BR,1674554811
39,butaritari,3.0707,172.7902,300.51,80,98,7.9,KI,1674554811
40,nemuro,43.3236,145.575,270.82,71,98,5.97,JP,1674554543
41,buraydah,26.326,43.975,291.84,45,89,5.37,SA,1674554811
42,kataysk,56.289,62.5841,266.04,90,11,3.54,RU,1674554811
43,cockburn town,21.4612,-71.1419,298.48,68,0,6.37,TC,1674554812
44,japura,-0.3167,102.35,298.61,88,100,2.43,ID,1674554812
45,kaohsiung,22.6163,120.3133,290.12,58,40,5.14,TW,1674554701
46,albany,42.6001,-73.9662,273.47,85,90,0.89,US,1674554812
47,yellowknife,62.456,-114.3525,258.46,84,100,4.47,CA,1674554730
48,cape town,-33.9258,18.4232,294.47,48,97,2.68,ZA,1674554672
49,hualmay,-11.0964,-77.6139,294.11,82,100,2.37,PE,1674554812
50,suntar,62.1444,117.6319,244.53,98,100,1.59,RU,1674554813
51,fort nelson,58.8053,-122.7002,260.36,98,100,0.29,CA,1674554813
52,khandyga,62.6667,135.6,224.36,100,51,1.05,RU,1674554813
53,bagdarin,54.4333,113.6,241.97,93,65,1.28,RU,1674554813
54,oyama,36.3,139.8,277.92,34,75,7.21,JP,1674554589
55,vaini,-21.2,-175.2,300.24,89,40,3.09,TO,1674554813
56,malumfashi,11.7853,7.6218,301.76,12,14,5.49,NG,1674554814
57,bluff,-46.6,168.3333,285.49,70,5,5.04,NZ,1674554814
58,jamestown,42.097,-79.2353,271.92,53,100,8.23,US,1674554814
59,kaitangata,-46.2817,169.8464,284.16,82,14,3.13,NZ,1674554814
60,pisco,-13.7,-76.2167,293.18,88,100,4.12,PE,1674554814
61,svetlogorsk,52.6333,29.7333,275.22,55,13,1.91,BY,1674554815
62,iqaluit,63.7506,-68.5145,252.48,98,100,1.08,CA,1674554815
63,chokurdakh,70.6333,147.9167,242.22,92,100,0.73,RU,1674554815
64,tandil,-37.3217,-59.1332,289.51,66,50,2.8,AR,1674554815
65,caraballeda,10.6112,-66.8522,301.19,74,40,1.54,VE,1674554815
66,port elizabeth,-33.918,25.5701,297.77,71,75,9.77,ZA,1674554815
67,constitucion,-35.3333,-72.4167,289.59,92,71,0.42,CL,1674554816
68,gorin,51.1983,136.6669,237.25,98,59,1.61,RU,1674554816
69,mabaruma,8.2,-59.7833,293.88,98,66,1.13,GY,1674554816
70,puerto ayora,-0.7393,-90.3518,295.68,97,77,1.05,EC,1674554817
71,port alfred,-33.5906,26.891,296.03,77,65,3.13,ZA,1674554817
